#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
               -7              17               1              HB  1.13653               1                   1   43101C11
               -8              17               1              HB  1.13632               1                   1   43102011
               -9              17               1              HB  1.13617               1                   1   43102411
              -10              17               1              HB  1.13472               1                   1   43102811
              -11              17               1              HB  1.13421               1                   1   43102C11
              -12              17               1              HB  1.13407               1                   1   43103011
              -13              17               1              HB  1.13332               1                   1   43103411
              -14              17               1              HB  1.13091               1                   1   43103811
              -15              17               1              HB  1.13090               1                   1   43103C11
              -15              17               2              HB  1.13090               1                   1   43203C11
              -16              17               1              HB  1.13975               1                   1   43104011
              -16              17               2              HB  1.13975               1                   1   43204011
               -1              18               1              HB  1.14158               1                   1   43100412
               -2              18               1              HB  1.14108               1                   1   43100812
               -3              18               1              HB  1.14022               1                   1   43100C12
               -4              18               1              HB  1.13989               1                   1   43101012
               -5              18               1              HB  1.13868               1                   1   43101412
               -6              18               1              HB  1.13826               1                   1   43101812
               -7              18               1              HB  1.13653               1                   1   43101C12
               -8              18               1              HB  1.13632               1                   1   43102012
               -9              18               1              HB  1.13617               1                   1   43102412
              -10              18               1              HB  1.13472               1                   1   43102812
              -11              18               1              HB  1.13421               1                   1   43102C12
              -12              18               1              HB  1.13407               1                   1   43103012
              -13              18               1              HB  1.13332               1                   1   43103412
              -14              18               1              HB  1.13091               1                   1   43103812
              -15              18               1              HB  1.13090               1                   1   43103C12
              -15              18               2              HB  1.13090               1                   1   43203C12
              -16              18               1              HB  1.13975               1                   1   43104012
              -16              18               2              HB  1.13975               1                   1   43204012
               -1              19               1              HB  1.14158               1                   1   43100413
               -2              19               1              HB  1.14108               1                   1   43100813
               -3              19               1              HB  1.14022               1                   1   43100C13
               -4              19               1              HB  1.13989               1                   1   43101013
               -5              19               1              HB  1.13868               1                   1   43101413
               -6              19               1              HB  1.13826               1                   1   43101813
               -7              19               1              HB  1.13653               1                   1   43101C13
               -8              19               1              HB  1.13632               1                   1   43102013
               -9              19               1              HB  1.13617               1                   1   43102413
              -10              19               1              HB  1.13472               1                   1   43102813
              -11              19               1              HB  1.13421               1                   1   43102C13
              -12              19               1              HB  1.13407               1                   1   43103013
              -13              19               1              HB  1.13332               1                   1   43103413
              -14              19               1              HB  1.13091               1                   1   43103813
              -15              19               1              HB  1.13090               1                   1   43103C13
              -15              19               2              HB  1.13090               1                   1   43203C13
              -16              19               1              HB  1.13975               1                   1   43104013
              -16              19               2              HB  1.13975               1                   1   43204013
               -1              20               1              HB  1.14158               1                   1   43100414
               -2              20               1              HB  1.14108               1                   1   43100814
               -3              20               1              HB  1.14022               1                   1   43100C14
               -4              20               1              HB  1.13989               1                   1   43101014
               -5              20               1              HB  1.13868               1                   1   43101414
               -6              20               1              HB  1.13826               1                   1   43101814
               -7              20               1              HB  1.13653               1                   1   43101C14
               -8              20               1              HB  1.13632               1                   1   43102014
               -9              20               1              HB  1.13617               1                   1   43102414
              -10              20               1              HB  1.13472               1                   1   43102814
              -11              20               1              HB  1.13421               1                   1   43102C14
              -12              20               1              HB  1.13407               1                   1   43103014
              -13              20               1              HB  1.13332               1                   1   43103414
              -14              20               1              HB  1.13091               1                   1   43103814
              -15              20               1              HB  1.13090               1                   1   43103C14
              -15              20               2              HB  1.13090               1                   1   43203C14
              -16              20               1              HB  1.13975               1                   1   43104014
              -16              20               2              HB  1.13975               1                   1   43204014
               -1              21               1              HB  1.14158               1                   1   43100415
               -2              21               1              HB  1.14108               1                   1   43100815
               -3              21               1              HB  1.14022               1                   1   43100C15
               -4              21               1              HB  1.13989               1                   1   43101015
               -5              21               1              HB  1.13868               1                   1   43101415
               -6              21               1              HB  1.13826               1                   1   43101815
               -7              21               1              HB  1.13653               1                   1   43101C15
               -8              21               1              HB  1.13632               1                   1   43102015
               -9              21               1              HB  1.13617               1                   1   43102415
